	input	output	language
0	"INFORME No. 131/17
CASO 11.678
ADMISIBILIDAD Y FONDO
MARIO MONTESINOS MEJÍA
ECUADOR
25 DE OCTUBRE DE 2017
"	131/17	es
5	"INFORME NO. 41/15
CASOS 12.335; 12.336; 12.757; 12.711
FONDO
GUSTAVO GIRALDO VILLAMIZAR DURÁN Y OTROS
COLOMBIA
28 DE JULIO DE 2015
"	41/15	es
7	"RESOLUCIÓN DE LA PRESIDENTA DE LA
CORTE INTERAMERICANA DE DERECHOS HUMANOS
DE 20 DE OCTUBRE DE 2020
CASO GRIJALVA BUENO VS. ECUADOR
VISTO:
1.
El escrito de sometimiento del caso y el Informe de Fondo No. 152/18 de la Comisión"	152/18	es
13	"INFORME Nº 27/99
CASO 11.697
RAMÓN MAURICIO GARCÍA-PRIETO GIRALT
EL SALVADOR
9 de marzo de 1999

I."	27/99	es
19	"INFORME N° 36/06 1
PETICIÓN 577-05
ADMISIBILIDAD
FRANCISCO USÓN RAMÍREZ
VENEZUELA
15 de marzo de 2006
I."	36/06	es
24	"INFORME No. 110/18
CASO 12.678
FONDO
PAOLA DEL ROSARIO GUZMÁN ALBARRACÍN Y FAMILIARES
ECUADOR
5 DE OCTUBRE DE 2018
"	110/18	es
25	"INFORME Nº 11/05 1
PETICIÓN 708-03
ADMISIBILIDAD
GREGORIA HERMINIA, SERAPIO CRISTIÁN Y JULIA INÉS CONTRERAS
EL SALVADOR
23 de febrero de 2005
I."	11/05	es
26	"INFORME Nº 36/99
CASO 12.042
MERVYN EDMUND
TRINIDAD Y TOBAGO
11 de marzo de 1999

I."	36/99	es
30	"INFORME No. 73/08
PETICIÓN 1236-06
ADMISIBILIDAD
GABRIEL SALES PIMENTA
BRASIL [1]
17 de octubre de 2008
I."	73/08	es
32	"INFORME No. 24/18
CASO 12.982
FONDO
AZUL ROJAS MARÍN1 Y OTRA
PERÚ2
24 de febrero de 2018
"	24/18	es
36	"1

INFORME No. 49/10
PETICIÓN 509-00
ADMISIBILIDAD
CARLOS ARTURO UVA VELANDIA
COLOMBIA"	49/10	es
46	"INFORME Nº 45/98
CASO 11.855
ANTHONY GARCÍA
TRINIDAD Y TOBAGO
25 de septiembre de 1998
I.
"	45/98	es
48	"INFORME No. 10/11
CASO 12.329
ADMISIBILIDAD
VICENTE ARIEL NOGUERA
PARAGUAY
22 de marzo de 2011
"	10/11	es
52	"INFORME No. 17/15
PETICIÓN 1139-04
ADMISIBILIDAD
MASACRE DE LA ALDEA LOS JOSEFINOS
GUATEMALA
24 DE MARZO DE 2015
"	17/15	es
53	"INFORME No. 103/13
CASO 12.816
FONDO
ADAN GUILLERMO LOPEZ LONE Y OTROS
HONDURAS
5 de noviembre de 2013
"	103/13	es
62	"INFORME No. 196/20
CASO 13.030
INFORME DE FONDO
SANTIAGO LEGUIZAMÓN ZAVÁN Y FAMILIA
PARAGUAY
10 DE JULIO DE 2020
I."	196/20	es
64	"INFORME No. 26/08 1
PETICIÓN 270-02
ADMISIBILIDAD
CÉSAR ALBERTO MENDOZA Y OTROS
ARGENTINA
14 de marzo de 2008
I."	26/08	es
69	"INFORME No. 73/17
CASO 12.984
FONDO
RAÚL ROLANDO ROMERO FERIS
ARGENTINA
5 DE JULIO DE 2017
"	73/17	es
71	"INFORME No. 110/10
PETICIÓN 1560-07
ADMISIBILIDAD
CLAUDINA ISABEL VELASQUEZ PAIZ Y OTROS
GUATEMALA
4 de octubre de 2010
I."	110/10	es
73	"INFORME Nº 18/06 1
PETICIÓN 12.353
ADMISIBILIDAD
ARLEY JOSÉ ESCHER Y OTROS
(INTERCEPTACIÓN DE LÍNEAS TELEFÓNICAS DE ORGANIZACIONES SOCIALES)
BRASIL
2 de marzo de 2006"	18/06	es
86	"5
INFORME No. 117/10
FONDO
CASO 12.343
EDGAR FERNANDO GARCIA
GUATEMALA
22 de octubre de 2010"	117/10	es
87	"INFORME No. 136/09
PETICIÓN 321-05
ADMISIBILIDAD
MARÍA INÉS CHINCHILLA SANDOVAL
GUATEMALA
13 de noviembre de 2009
"	136/09	es
89	"INFORME No. 84/13
CASO 12.482
FONDO
VALDEMIR QUISPEALAYA VILCAPOMA
PERÚ
4 de noviembre de 2013
"	84/13	es
90	"INFORME No. 16/19
CASO 12.991
FONDO
MASACRE DE LA ALDEA LOS JOSEFINOS
GUATEMALA
12 DE FEBRERO DE 2019
"	16/19	es
91	"INFORME No. 148/18
CASO 12.997
FONDO
SANDRA CECILIA PAVEZ PAVEZ
CHILE 1
7 de diciembre de 2018
"	148/18	es
92	"5
INFORME No. 118/10
CASO 12.680
FONDO
RAFAEL ARTURO PACHECO TERUEL Y OTROS
(MUERTE POR INCENDIO EN EL CENTRO PENAL DE SAN PEDRO SULA)
HONDURAS"	118/10	es
