	input	output	language
0	"INFORME No. 131/17
CASO 11.678
ADMISIBILIDAD Y FONDO
MARIO MONTESINOS MEJÍA
ECUADOR
25 DE OCTUBRE DE 2017
"	Ecuador	es
1	"16 de noviembre de 2020
REF.:

Caso Nº 12.691
Miembros del Sindicato Único de Trabajadores de Ecasa (SUTECASA)
Perú
"	Perú	es
2	"RESOLUCIÓN DE LA
CORTE INTERAMERICANA DE DERECHOS HUMANOS
DE 22 DE AGOSTO DE 2018
MEDIDAS PROVISIONALES RESPECTO DE LA
REPÚBLICA BOLIVARIANA DE VENEZUELA
ASUNTO LUISIANA RÍOS Y OTROS
VISTO:"	Venezuela	es
3	"RESOLUCIÓN DE LA
CORTE INTERAMERICANA DE DERECHOS HUMANOS
DE 28 DE JUNIO DE 2012
CASO BAENA RICARDO Y OTROS VS. PANAMÁ
SUPERVISIÓN DE CUMPLIMIENTO DE SENTENCIA

VISTO:"	Panamá	es
4	"RESOLUCIÓN DE LA PRESIDENTA DE LA
CORTE INTERAMERICANA DE DERECHOS HUMANOS
DE 4 DE DICIEMBRE DE 2020
CASO VERA ROJAS Y OTROS VS. CHILE
VISTO:
1.
El escrito de sometimiento del caso y el Informe de Fondo de la Comisión Interamericana"	Chile	es
5	"INFORME NO. 41/15
CASOS 12.335; 12.336; 12.757; 12.711
FONDO
GUSTAVO GIRALDO VILLAMIZAR DURÁN Y OTROS
COLOMBIA
28 DE JULIO DE 2015
"	Colombia	es
6	"RESOLUCIÓN DEL PRESIDENTE DE LA
CORTE INTERAMERICANA DE DERECHOS HUMANOS
DE 10 DE MARZO DE 2016
CASO POLLO RIVERA Y OTROS VS. PERÚ
VISTO:
1.
El escrito de sometimiento del caso y el Informe de Fondo de la Comisión"	Perú	es
7	"RESOLUCIÓN DE LA PRESIDENTA DE LA
CORTE INTERAMERICANA DE DERECHOS HUMANOS
DE 20 DE OCTUBRE DE 2020
CASO GRIJALVA BUENO VS. ECUADOR
VISTO:
1.
El escrito de sometimiento del caso y el Informe de Fondo No. 152/18 de la Comisión"	Ecuador	es
8	"RESOLUCIÓN DE LA
CORTE INTERAMERICANA DE DERECHOS HUMANOS
DE 30 DE AGOSTO DE 2010
MEDIDAS PROVISIONALES RESPECTO DE LA REPÚBLICA DE COLOMBIA
ASUNTO DE LA COMUNIDAD DE PAZ DE SAN JOSÉ DE APARTADÓ

VISTO:"	Colombia	es
9	"RESOLUCIÓN DEL PRESIDENTE DE LA
CORTE INTERAMERICANA DE DERECHOS HUMANOS
DE 7 DE MARZO DE 2014
CASO ESPINOZA GONZÁLES VS. PERÚ
VISTO:
1.
El escrito de sometimiento del caso presentado por la Comisión Interamericana"	Perú	es
10	"RESOLUCIÓN DE LA
CORTE INTERAMERICANA DE DERECHOS HUMANOS ∗
DE 1 JUNIO DE 2020
MEDIDAS PROVISIONALES
CASO DURAND Y UGARTE VS. PERÚ
VISTO:
1."	Perú	es
11	"RESOLUCIÓN DEL PRESIDENTE DE LA
CORTE INTERAMERICANA DE DERECHOS HUMANOS
DE 23 DE AGOSTO DE 2018
CASO ÁLVAREZ RAMOS VS. VENEZUELA
VISTO:
1.
La Resolución del Presidente de la Corte Interamericana de Derechos Humanos (en"	Venezuela	es
12	"17 de julio de 2020
REF.:

Caso Nº 13.267
Carlos Benites Cabrera y otros
Perú
"	Perú	es
13	"INFORME Nº 27/99
CASO 11.697
RAMÓN MAURICIO GARCÍA-PRIETO GIRALT
EL SALVADOR
9 de marzo de 1999

I."	El Salvador	es
14	"RESOLUCIÓN DE LA CORTE
INTERAMERICANA DE DERECHOS HUMANOS
DE 10 DE OCTUBRE DE 2016
CASO GENOVEVA Y OTROS (FAVELA NOVA BRASILIA) VS. BRASIL

VISTO:
1."	Brasil	es
15	"RESOLUCIÓN DEL PRESIDENTE DE LA
CORTE INTERAMERICANA DE DERECHOS HUMANOS

DE 31 DE MAYO DE 2006
SOLICITUD DE MEDIDAS PROVISIONALES RESPECTO DEL PERÚ
CASO JUÁREZ CRUZZAT Y OTROS
"	Perú	es
16	"VOTO DISIDENTE DEL JUEZ EDUARDO VIO GROSSI,

CORTE INTERAMERICANA DE DERECHOS HUMANOS
CASO LÓPEZ Y OTROS VS. ARGENTINA
SENTENCIA DE 25 DE NOVIEMBRE DE 2019
(Excepciones Preliminares, Fondo, Reparaciones y Costas)
I."	Argentina	es
17	"CORTE INTERAMERICANA DE DERECHOS HUMANOS

CASO VÉLEZ LOOR VS. PANAMÁ

SENTENCIA DE 23 DE NOVIEMBRE DE 2010
(Excepciones Preliminares, Fondo, Reparaciones y Costas)
"	Panamá	es
18	"Corte Interamericana de Derechos Humanos
Caso Trabajadores Cesados del Congreso
(Aguado Alfaro y otros) Vs. Perú

Sentencia de 24 de noviembre de 2006
(Excepciones Preliminares, Fondo, Reparaciones y Costas)
"	Perú	es
19	"INFORME N° 36/06 1
PETICIÓN 577-05
ADMISIBILIDAD
FRANCISCO USÓN RAMÍREZ
VENEZUELA
15 de marzo de 2006
I."	Venezuela	es
20	"VOTO CONCURRENTE DEL JUEZ SERGIO GARCÍA RAMÍREZ
A LA SENTENCIA SOBRE
EL CASO PALAMARA IRIBARNE VS. CHILE
DE 22 DE NOVIEMBRE DE 2005

1.
Son temas centrales en este caso la libertad de expresión y el debido proceso"	Chile	es
21	"RESOLUCIÓN DE LA
CORTE INTERAMERICANA DE DERECHOS HUMANOS*

DE 23 DE JUNIO DE 2016
CASO 19 COMERCIANTES VS. COLOMBIA
SUPERVISIÓN DE CUMPLIMIENTO DE SENTENCIA
VISTO:"	Colombia	es
22	"VOTO CONCURRENTE DEL
JUEZ EDUARDO FERRER MAC-GREGOR POISOT
CASO CHINCHILLA SANDOVAL VS. GUATEMALA
SENTENCIA DE 29 DE FEBRERO DE 2016

(Excepciones Preliminares, Fondo, Reparaciones y Costas)
"	Guatemala	es
23	"RESOLUCIÓN DE LA

CORTE INTERMERICANA DE DERECHOS HUMANOS
13 DE FEBRERO DE 2013
MEDIDAS PROVISIONALES
RESPECTO DE VENEZUELA
CASO FAMILIA BARRIOS"	Venezuela	es
24	"INFORME No. 110/18
CASO 12.678
FONDO
PAOLA DEL ROSARIO GUZMÁN ALBARRACÍN Y FAMILIARES
ECUADOR
5 DE OCTUBRE DE 2018
"	Ecuador	es
25	"INFORME Nº 11/05 1
PETICIÓN 708-03
ADMISIBILIDAD
GREGORIA HERMINIA, SERAPIO CRISTIÁN Y JULIA INÉS CONTRERAS
EL SALVADOR
23 de febrero de 2005
I."	El Salvador	es
26	"INFORME Nº 36/99
CASO 12.042
MERVYN EDMUND
TRINIDAD Y TOBAGO
11 de marzo de 1999

I."	Trinidad y Tobago	es
27	"RESOLUCIÓN DEL PRESIDENTE
DE LA CORTE INTERAMERICANA DE DERECHOS HUMANOS
DE 26 DE JULIO DE 2011
MEDIDAS PROVISIONALES RESPECTO DE
LA REPÚBLICA FEDERATIVA DE BRASIL
ASUNTO DE LA CÁRCEL DE URSO BRANCO
"	Brasil	es
28	"RESOLUCIÓN DE LA
CORTE INTERAMERICANA DE DERECHOS HUMANOS
DE 21 DE NOVIEMBRE DE 2000
MEDIDAS PROVISIONALES
RESPECTO DEL ESTADO DEL PERÚ1
CASO IVCHER BRONSTEIN
VISTOS:"	Perú	es
29	"28 de abril de 2018
Ref.:

Caso 12.659
Mirey Trueba Arciniega y otros
México
"	México	es
30	"INFORME No. 73/08
PETICIÓN 1236-06
ADMISIBILIDAD
GABRIEL SALES PIMENTA
BRASIL [1]
17 de octubre de 2008
I."	Brasil	es
31	"RESOLUCIÓN DE LA
CORTE INTERAMERICANA DE DERECHOS HUMANOS*
DE 20 DE OCTUBRE DE 2016
CASO DE LAS COMUNIDADES AFRODESCENDIENTES DESPLAZADAS DE LA CUENCA
DEL RÍO CACARICA (OPERACIÓN GENÉSIS) VS. COLOMBIA
SUPERVISIÓN DE CUMPLIMIENTO DE SENTENCIA
"	Colombia	es
32	"INFORME No. 24/18
CASO 12.982
FONDO
AZUL ROJAS MARÍN1 Y OTRA
PERÚ2
24 de febrero de 2018
"	Perú	es
33	"RESOLUCIÓN DE LA
CORTE INTERAMERICANA DE DERECHOS HUMANOS
DE 17 DE NOVIEMBRE DE 2005
SOLICITUD DE MEDIDAS PROVISIONALES PRESENTADA POR
LA COMISIÓN INTERAMERICANA DE DERECHOS HUMANOS
RESPECTO DE LA REPÚBLICA FEDERATIVA DEL BRASIL
CASO DE LOS NIÑOS Y ADOLESCENTES PRIVADOS DE LIBERTAD"	Brasil	es
34	"CORTE INTERAMERICANA DE DERECHOS HUMANOS

Caso Lori Berenson Mejía Vs. Perú

Sentencia de 25 de noviembre de 2004
(Fondo Reparaciones Y Costas)
"	Perú	es
35	"RESOLUCIÓN DE LA
CORTE INTERAMERICANA DE DERECHOS HUMANOS 
DE 7 DE MAYO DE 2021
CASO GONZÁLEZ Y OTROS VS. VENEZUELA

VISTO:
1."	Venezuela	es
36	"1

INFORME No. 49/10
PETICIÓN 509-00
ADMISIBILIDAD
CARLOS ARTURO UVA VELANDIA
COLOMBIA"	Colombia	es
37	"6 de junio de 2021
REF.:

Caso No. 13.193
Thomas Scot Cochran
Costa Rica
"	Costa Rica	es
38	"RESOLUCIÓN DE LA
CORTE INTERAMERICANA DE DERECHOS HUMANOS ∗
DE 20 DE NOVIEMBRE DE 2015
MEDIDAS PROVISIONALES RESPECTO DE EL SALVADOR
CASO GARCÍA PRIETO Y OTROS

VISTO:"	El Salvador	es
39	"CORTE INTERAMERICANA DE DERECHOS HUMANOS
TICONA ESTRADA Y OTROS VS. BOLIVIA
SENTENCIA DE 27 DE NOVIEMBRE DE 2008
(FONDO, REPARACIONES Y COSTAS)

En el caso Ticona Estrada y otros,
la Corte Interamericana de Derechos Humanos (en adelante “la Corte"	Bolivia	es
