	input	output	language
0	"INFORME No. 78/08
PETICIÓN 785-05
ADMISIBILIDAD
RAFAEL ARTURO PACHECO TERUEL Y OTROS
(MUERTE POR INCENDIO EN EL CENTRO PENAL DE SAN PEDRO SULA)
HONDURAS
17 de octubre de 2008"	17 Oct, 2008	es
1	"CORTE INTERAMERICANA DE DERECHOS HUMANOS

CASO DE LOS PUEBLOS INDÍGENAS KUNA DE MADUNGANDÍ Y EMBERÁ DE BAYANO Y
SUS MIEMBROS VS. PANAMÁ

SENTENCIA DE 14 DE OCTUBRE DE 2014
(Excepciones Preliminares, Fondo, Reparaciones y Costas)"	14 Oct, 2014	es
2	"RESOLUCIÓN DE LA
CORTE INTERAMERICANA DE DERECHOS HUMANOS
DE 17 DE NOVIEMBRE DE 2021
CASO ROCHE AZAÑA Y OTROS VS. NICARAGUA
SUPERVISIÓN DE CUMPLIMIENTO DE SENTENCIA

VISTO:"	17 Nov, 2021	es
3	"RESOLUCIÓN DE LA
CORTE INTERAMERICANA DE DERECHOS HUMANOS*
DE 4 DE JULIO DE 2006
MEDIDAS PROVISIONALES Y
SOLICITUD DE AMPLIACIÓN DE MEDIDAS PROVISIONALES
RESPECTO DE LA REPÚBLICA FEDERATIVA DEL BRASIL
CASO DE LOS NIÑOS Y ADOLESCENTES PRIVADOS DE LIBERTAD"	04 Jul, 2006	es
4	"Corte Interamericana de Derechos Humanos
Caso Caesar Vs. Trinidad y Tobago
Resolución del 21 de Noviembre de 2007
Supervisión de Cumplimiento de Sentencia

VISTOS:
1."	21 Nov, 2007	es
5	"RESOLUCIÓN DE LA PRESIDENTA DE LA
CORTE INTERAMERICANA DE DERECHOS HUMANOS
DE 30 DE JUNIO DE 2020
CASO MOTA ABARULLO Y OTROS VS. VENEZUELA
VISTO:
1.
El escrito de sometimiento del caso y el Informe de Fondo No. 118/18 de la Comisión"	30 Jun, 2020	es
6	"RESOLUCIÓN DEL PRESIDENTE DE LA
CORTE INTERAMERICANA DE DERECHOS HUMANOS
DE 10 DE MARZO DE 2010
CASO IBSEN CÁRDENAS E IBSEN PEÑA Vs. BOLIVIA
VISTOS:
1.
El escrito de demanda presentado por la Comisión Interamericana de Derechos"	10 Mar, 2010	es
7	"RESOLUCIÓN DEL PRESIDENTE EN EJERCICIO DE LA
CORTE INTERAMERICANA DE DERECHOS HUMANOS
DE 2 DE MAYO DE 2014
SOLICITUD DE MEDIDAS PROVISIONALES PRESENTADA POR
LA COMISIÓN INTERAMERICANA DE DERECHOS HUMANOS
RESPECTO DE COLOMBIA
ASUNTO DANILO RUEDA"	02 May, 2014	es
8	"RESOLUCIÓN DEL PRESIDENTE
DE LA CORTE INTERAMERICANA DE DERECHOS HUMANOS
DE 9 DE JUNIO DE 2014
FONDO DE ASISTENCIA LEGAL DE VÍCTIMAS
CASO COMUNIDAD CAMPESINA DE SANTA BÁRBARA VS. PERÚ
VISTO:
1."	09 Jun, 2014	es
9	"CORTE INTERAMERICANA DE DERECHOS HUMANOS
CASO ROSADIO VILLAVICENCIO VS. PERÚ
SENTENCIA DE 14 DE OCTUBRE DE 2019
(Excepciones Preliminares, Fondo, Reparaciones y Costas)

En el caso Rosadio Villavicencio,
"	14 Oct, 2019	es
10	"21 de noviembre de 2014
REF.:

Caso No. 11.438
Herrera Espinoza y otros
Ecuador
"	21 Nov, 2014	es
