	input	output	language
0	"Naciones Unidas

Asamblea General

A/RES/64/118
Distr. general
15 de enero de 2010"	A/RES/64/118	en
1	"A/RES/70/1

United Nations

Distr.: General
21 October 2015
"	A/RES/70/1	en
2	"A/HRC/RES/39/20

Nations Unies

Assemblée générale

Distr. générale"	A/HRC/RES/39/20	en
3	"United Nations

A/RES/65/278
Distr.: General
4 August 2011

General Assembly"	A/RES/65/278	en
4	"A/RES/55/273

Naciones Unidas

Distr. general
27 de julio de 2001
"	A/RES/55/273	en
5	"United Nations

A/RES/57/97

General Assembly

Distr.: General"	A/RES/57/97	en
6	"Naciones Unidas

Asamblea General

A/RES/64/164
Distr. general
17 de marzo de 2010"	A/RES/64/164	en
7	"A/HRC/RES/42/17

Nations Unies

Assemblée générale

Distr. générale"	A/HRC/RES/42/17	en
8	"A/HRC/RES/42/24

Naciones Unidas

Asamblea General

Distr. general"	A/HRC/RES/42/24	en
9	"Naciones Unidas

Asamblea General

A/RES/64/97
Distr. general
19 de enero de 2010"	A/RES/64/97	en
10	"A/RES/59/71

Naciones Unidas

Asamblea General

Distr. general"	A/RES/59/71	en
11	"A/RES/69/118

United Nations

Distr.: General
18 December 2014
"	A/RES/69/118	en
12	"A/RES/69/128

Naciones Unidas

Distr. general
18 de diciembre de 2014
"	A/RES/69/128	en
13	"A/RES/59/7

United Nations

Distr.: General
6 December 2004
"	A/RES/59/7	en
14	"A/RES/59/119

Naciones Unidas

Asamblea General

Distr. general"	A/RES/59/119	en
15	"Naciones Unidas

Asamblea General

A/RES/57/249
Distr. general
20 de febrero de 2003"	A/RES/57/249	en
16	"A/RES/67/161

Naciones Unidas

Distr. general
7 de marzo de 2013
"	A/RES/67/161	en
17	"S/RES/2143 (2014)

United Nations

Security Council

Distr.: General"	S/RES/2143	en
18	"A/RES/64/193

Naciones Unidas

Asamblea General

Distr. general"	A/RES/64/193	en
19	"Nations Unies

Assemblée générale

A/RES/62/116
Distr. générale
10 janvier 2008"	A/RES/62/116	en
20	"A/HRC/RES/15/10

Naciones Unidas

Asamblea General

Distr. general"	A/HRC/RES/15/10	en
21	"United Nations

A/RES/58/317

General Assembly

Distr.: General"	A/RES/58/317	en
22	"A/RES/65/39

United Nations

Distr.: General
11 January 2011
"	A/RES/65/39	en
23	"Nations Unies

Assemblée générale

A/RES/59/78
Distr. générale
17 décembre 2004"	A/RES/59/78	en
24	"A/RES/68/62

Naciones Unidas

Distr. general
11 de diciembre de 2013
"	A/RES/68/62	en
25	"Nations Unies

A/RES/64/26

Assemblée générale

Distr. générale"	A/RES/64/26	en
26	"A/RES/61/114

Naciones Unidas

Asamblea General

Distr. general"	A/RES/61/114	en
27	"Nations Unies

Assemblée générale

A/RES/61/29
Distr. générale
18 décembre 2006"	A/RES/61/29	en
28	"A/RES/56/209

Nations Unies

Distr. générale
21 février 2002
"	A/RES/56/209	en
29	"Naciones Unidas

Asamblea General

A/RES/60/273
Distr. general
8 de agosto de 2006"	A/RES/60/273	en
30	"A/HRC/35/21

United Nations

General Assembly

Distr.: General"	A/HRC/35/21	en
31	"United Nations

General Assembly

A/RES/57/43
Distr.: General
16 January 2003"	A/RES/57/43	en
32	"A/RES/71/126

Nations Unies

Distr. générale
23 janvier 2017
"	A/RES/71/126	en
33	"Nations Unies

A/RES/64/40

Assemblée générale

Distr. générale"	A/RES/64/40	en
34	"Nations Unies

Assemblée générale

A/RES/55/147
Distr. générale
29 janvier 2001"	A/RES/55/147	en
35	"A/RES/62/140

Naciones Unidas

Distr. general
19 de febrero de 2008
"	A/RES/62/140	en
36	"United Nations

General Assembly

A/RES/58/30
Distr.: General
18 December 2003"	A/RES/58/30	en
37	"Naciones Unidas

Asamblea General

A/HRC/RES/21/23
Distr. general
17 de octubre de 2012"	A/HRC/RES/21/23	en
38	"A/HRC/RES/35/31

Nations Unies

Assemblée générale

Distr. générale"	A/HRC/RES/35/31	en
39	"Naciones Unidas

Asamblea General

A/RES/60/195
Distr. general
2 de marzo de 2006"	A/RES/60/195	en
40	"A/HRC/RES/41/8

United Nations

General Assembly

Distr.: General"	A/HRC/RES/41/8	en
41	"A/RES/72/30

Naciones Unidas

Asamblea General

Distr. general"	A/RES/72/30	en
42	"A/RES/69/154

Nations Unies

Distr. générale
22 janvier 2015
"	A/RES/69/154	en
43	"Nations Unies

A/RES/64/179
Distr. générale
26 mars 2010

Assemblée générale"	A/RES/64/179	en
44	"Nations Unies

Assemblée générale

A/RES/56/125
Distr. générale
25 janvier 2002"	A/RES/56/125	en
45	"Nations Unies

A/RES/63/143

Assemblée générale

Distr. générale"	A/RES/63/143	en
46	"Nations Unies

A/RES/62/76

Assemblée générale

Distr. générale"	A/RES/62/76	en
47	"A/RES/70/146

Naciones Unidas

Asamblea General

Distr. general"	A/RES/70/146	en
48	"Nations Unies

A/RES/67/39

Assemblée générale

Distr. générale"	A/RES/67/39	en
49	"Nations Unies

A/RES/65/72

Assemblée générale

Distr. générale"	A/RES/65/72	en
50	"A/RES/56/189

Naciones Unidas

Asamblea General

Distr. general"	A/RES/56/189	en
51	"Nations Unies

Assemblée générale

A/RES/58/121
Distr. générale
12 février 2004"	A/RES/58/121	en
52	"A/RES/72/23

Nations Unies

Assemblée générale

Distr. générale"	A/RES/72/23	en
53	"A/RES/72/99

United Nations

General Assembly

Distr.: General"	A/RES/72/99	en
54	"Naciones Unidas

Asamblea General

A/RES/57/246
Distr. general
7 de febrero de 2003"	A/RES/57/246	en
55	"Naciones Unidas

Asamblea General

A/RES/64/30
Distr. general
12 de enero de 2010"	A/RES/64/30	en
56	"A/RES/73/166

United Nations

General Assembly

Distr.: General"	A/RES/73/166	en
57	"Nations Unies

Assemblée générale

A/RES/62/236
Distr. générale
20 février 2008"	A/RES/62/236	en
58	"United Nations

A/RES/70/247

General Assembly

Distr.: General"	A/RES/70/247	en
59	"Nations Unies

A/RES/61/247

Assemblée générale

Distr. générale"	A/RES/61/247	en
60	"Naciones Unidas

Asamblea General

A/RES/70/180
Distr. general
19 de febrero de 2016"	A/RES/70/180	en
61	"A/RES/68/173

Naciones Unidas

Distr. general
23 de enero de 2014
"	A/RES/68/173	en
62	"United Nations

A/RES/62/32

General Assembly

Distr.: General"	A/RES/62/32	en
63	"A/RES/58/278

United Nations

Distr.: General
3 March 2004
"	A/RES/58/278	en
64	"A/RES/70/147

Nations Unies

Distr. générale
25 février 2016
"	A/RES/70/147	en
65	"A/RES/74/43

Naciones Unidas

Asamblea General

Distr. general"	A/RES/74/43	en
66	"A/RES/70/25

Naciones Unidas

Asamblea General

Distr. general"	A/RES/70/25	en
67	"A/RES/68/182

Naciones Unidas

Distr. general
30 de enero de 2014
"	A/RES/68/182	en
68	"A/HRC/RES/32/7

United Nations

General Assembly

Distr.: General"	A/HRC/RES/32/7	en
69	"United Nations

General Assembly

A/RES/59/70
Distr.: General
17 December 2004"	A/RES/59/70	en
70	"A/RES/64/4

United Nations

General Assembly

Distr.: General"	A/RES/64/4	en
71	"Nations Unies

Assemblée générale

A/RES/58/281*
Distr. générale
11 janvier 2006"	A/RES/58/281*	en
72	"A/RES/69/108

Naciones Unidas

Distr. general
17 de diciembre de 2014
"	A/RES/69/108	en
73	"A/RES/68/18

Naciones Unidas

Distr. general
9 de diciembre de 2013
"	A/RES/68/18	en
74	"A/68/289

United Nations

General Assembly

Distr.: General"	A/68/289	en
75	"A/RES/73/26

Naciones Unidas

Asamblea General

Distr. general"	A/RES/73/26	en
