	input	output	language
0	"Naciones Unidas

Asamblea General

A/RES/71/214
Distr. general
20 de enero de 2017"	2017	fr
1	"Naciones Unidas

Asamblea General

A/RES/60/142
Distr. general
7 de febrero de 2006"	2006	fr
2	"A/RES/64/12

United Nations

Distr.: General
22 December 2009
"	2009	fr
3	"A/RES/68/149

Naciones Unidas

Distr. general
12 de febrero de 2014
"	2014	fr
4	"A/RES/68/32

United Nations

Distr.: General
10 December 2013
"	2013	fr
5	"United Nations

General Assembly

A/RES/58/236
Distr.: General
25 February 2004"	2004	fr
6	"Naciones Unidas

Asamblea General

A/HRC/RES/38/2
Distr. general
16 de julio de 2018"	2018	fr
7	"Nations Unies

Assemblée générale

A/RES/59/122
Distr. générale
25 janvier 2005"	2005	fr
8	"A/RES/56/274

United Nations

Distr.: General
23 April 2002
"	2002	fr
9	"A/RES/67/146

Nations Unies

Distr. générale
5 mars 2013
"	2013	fr
10	"Naciones Unidas

Asamblea General

A/RES/58/142
Distr. general
10 de febrero de 2004"	2004	fr
11	"Naciones Unidas

Asamblea General

A/RES/55/241
Distr. general
10 de abril de 2001"	2001	fr
12	"United Nations

General Assembly

A/RES/56/51
Distr.: General
15 February 2002"	2002	fr
13	"United Nations

General Assembly

A/RES/59/201
Distr.: General
23 March 2005"	2005	fr
14	"Naciones Unidas

Asamblea General

A/RES/61/25
Distr. general
2 de marzo de 2007"	2007	fr
15	"A/RES/65/23

United Nations

Distr.: General
10 January 2011
"	2011	fr
16	"United Nations

General Assembly

A/RES/56/172
Distr.: General
26 February 2002"	2002	fr
17	"A/RES/67/300

United Nations

Distr.: General
24 September 2013
"	2013	fr
18	"A/RES/67/151

United Nations

Distr.: General
6 March 2013
"	2013	fr
19	"A/RES/56/72

United Nations

Distr.: General
27 February 2002
"	2002	fr
20	"Nations Unies

Assemblée générale

A/RES/60/144
Distr. générale
14 février 2006"	2006	fr
21	"A/RES/67/245

Nations Unies

Distr. générale
14 février 2013
"	2013	fr
22	"United Nations

General Assembly

A/RES/58/275
Distr.: General
8 January 2004"	2004	fr
23	"A/RES/63/152

Naciones Unidas

Distr. general
11 de febrero de 2009
"	2009	fr
24	"Nations Unies

Assemblée générale

A/RES/59/113
Distr. générale
17 février 2005"	2005	fr
25	"A/RES/64/300

Naciones Unidas

Distr. general
15 de octubre de 2010
"	2010	fr
26	"Nations Unies

Assemblée générale

A/RES/57/262
Distr. générale
28 février 2003"	2003	fr
27	"A/RES/68/83

United Nations

Distr.: General
16 December 2013
"	2013	fr
28	"A/RES/63/80

United Nations

Distr.: General
13 January 2009
"	2009	fr
29	"A/RES/64/187

Nations Unies

Distr. générale
9 février 2010
"	2010	fr
30	"A/RES/68/53

Naciones Unidas

Distr. general
11 de diciembre de 2013
"	2013	fr
31	"A/RES/65/160

United Nations

Distr.: General
4 March 2011
"	2011	fr
32	"Nations Unies

Assemblée générale

A/RES/64/138
Distr. générale
16 février 2010"	2010	fr
33	"Naciones Unidas

Asamblea General

A/RES/56/153
Distr. general
13 de febrero de 2002"	2002	fr
34	"Naciones Unidas

Asamblea General

A/RES/59/47
Distr. general
16 de diciembre de 2004"	2004	fr
35	"Naciones Unidas

Asamblea General

A/RES/64/95
Distr. general
19 de enero de 2010"	2010	fr
36	"A/RES/68/52

United Nations

Distr.: General
11 December 2013
"	2013	fr
37	"United Nations

General Assembly

A/RES/58/237
Distr.: General
27 February 2004"	2004	fr
38	"A/RES/68/227

Nations Unies

Distr. générale
29 janvier 2014
"	2014	fr
39	"Naciones Unidas

Asamblea General

A/RES/65/179
Distr. general
22 de marzo de 2011"	2011	fr
40	"A/RES/67/69

United Nations

Distr.: General
11 December 2012
"	2012	fr
41	"A/RES/67/299

Naciones Unidas

Distr. general
1 de octubre de 2013
"	2013	fr
42	"United Nations

General Assembly

A/RES/58/249
Distr.: General
20 February 2004"	2004	fr
43	"Naciones Unidas

Asamblea General

A/RES/60/241
Distr. general
15 de febrero de 2006"	2006	fr
44	"United Nations

General Assembly

A/HRC/26/31
Distr.: General
1 April 2014"	2014	fr
45	"United Nations

General Assembly

A/RES/58/42
Distr.: General
17 December 2003"	2003	fr
46	"Naciones Unidas

Asamblea General

A/RES/64/205
Distr. general
11 de marzo de 2010"	2010	fr
47	"A/RES/70/93 A-B

Nations Unies

Distr. générale
15 décembre 2015
"	2015	fr
48	"Nations Unies

Assemblée générale

A/RES/55/167
Distr. générale
12 février 2001"	2001	fr
49	"Naciones Unidas

Asamblea General

A/RES/71/304
Distr. general
18 de julio de 2017"	2017	fr
50	"Naciones Unidas

Asamblea General

A/RES/61/186
Distr. general
25 de enero de 2007"	2007	fr
51	"A/RES/71/326

Nations Unies

Distr. générale
28 septembre 2017
"	2017	fr
52	"Naciones Unidas

Asamblea General

A/RES/64/276
Distr. general
11 de agosto de 2010"	2010	fr
53	"A/RES/69/249

Naciones Unidas

Distr. general
21 de enero de 2015
"	2015	fr
54	"Nations Unies

Assemblée générale

A/RES/60/183
Distr. générale
31 janvier 2006"	2006	fr
55	"A/RES/69/96 A-B

Naciones Unidas

Distr. general
16 de diciembre de 2014
"	2014	fr
56	"Naciones Unidas

Asamblea General

A/RES/56/236
Distr. general
24 de enero de 2002"	2002	fr
57	"Naciones Unidas

Asamblea General

A/RES/64/90
Distr. general
19 de enero de 2010"	2010	fr
58	"Naciones Unidas

Asamblea General

A/RES/60/17
Distr. general
8 de febrero de 2006"	2006	fr
59	"A/RES/67/110

United Nations

Distr.: General
2 April 2013
"	2013	fr
60	"Nations Unies

A/RES/64/246
Distr. générale
16 mars 2010

Assemblée générale"	2010	fr
61	"A/RES/69/14

Nations Unies

Distr. générale
2 décembre 2014
"	2014	fr
62	"Nations Unies

Assemblée générale

A/RES/56/17
Distr. générale
21 décembre 2001"	2001	fr
63	"A/RES/63/256

Naciones Unidas

Distr. general
19 de marzo de 2009
"	2009	fr
64	"Nations Unies

Assemblée générale

A/RES/59/43
Distr. générale
16 décembre 2004"	2004	fr
65	"A/RES/71/82

Nations Unies

Distr. générale
16 décembre 2016
"	2016	fr
66	"A/RES/70/257

United Nations

Distr.: General
15 April 2016
"	2016	fr
67	"Naciones Unidas

Asamblea General

A/RES/55/282
Distr. general
28 de septiembre de 2001"	2001	fr
68	"Nations Unies

A/RES/64/264
Distr. générale
20 mai 2010

Assemblée générale"	2010	fr
69	"A/RES/70/44

United Nations

Distr.: General
11 December 2015
"	2015	fr
70	"Nations Unies

Assemblée générale

A/RES/61/164
Distr. générale
21 février 2007"	2007	fr
71	"United Nations

General Assembly

A/RES/60/206
Distr.: General
16 March 2006"	2006	fr
72	"A/RES/68/54

Nations Unies

Distr. générale
11 décembre 2013
"	2013	fr
73	"A/RES/71/164*

Nations Unies

Distr. générale
20 janvier 2017
"	2017	fr
74	"Naciones Unidas

Asamblea General

A/RES/60/254
Distr. general
8 de junio de 2006"	2006	fr
75	"A/RES/70/52

United Nations

Distr.: General
11 December 2015
"	2015	fr
